AVG Vine Star_Rating,AVG Non-Vine Star Rating: ,Pearson Corr,Kendall Corr,Spearmen Corr,Biserial Corr,P-value
4.285714285714286,3.6470588235294117,0.11163379078944968,0.07884110151839932,0.08666471688485827,0.11163379078944967,0.10019282528574261
Product ID,Avg Vine SR,Avg NonVine SR
B000PHNHMQ,4.8,4.25
B004TACMZ8,4.0,3.5348837209302326
